"Dates_YYYYMMDD" "Time_hhmm" "Red_av" "Red_sd" "Green_av" "Green_sd" "Blue_av" "Blue_sd" "Red_Index_av" "Red_Index_sd" "Green_Index_av" "Green_Index_sd" "Blue_Index_av" "Blue_Index_sd" "GEI_av" "GEI_sd" "BRI_av" "BRI_sd"
"2020-07-01" "08:00" 128.746113458477 46.0248829521611 115.526894232365 43.6899905791744 120.366560098046 43.9087650513235 0.353083587882949 0.0274574045574124 0.3152797668067 0.0103301157961437 0.331636645310352 0.0242280965092386 -18.0588850917921 10.1332467843982 364.639567788889 131.203615598342
"2020-07-01" "08:30" 131.217480313876 45.1213110544635 119.82056613719 42.827230395479 123.898039152684 43.606777793839 0.349959187163051 0.0269485314133623 0.318654604718921 0.00975511009741952 0.331386208118028 0.0231408032970571 -15.4743871921808 9.99025493528453 374.93608560375 129.23940167554
"2020-07-01" "09:00" 130.401455392273 42.5189042863262 117.136493517522 40.3951788036602 122.107554743604 41.3205857654386 0.352942571251677 0.0276936440766281 0.315990585844662 0.0101978324945617 0.331066842903661 0.023725483306678 -18.2360231008332 10.5016067986218 369.645503653399 121.743000010831
"2020-07-01" "09:30" 129.027264124167 42.3550585141077 116.992933421771 39.9367013313452 119.191121219702 40.784202400662 0.353301596442669 0.0269580774540355 0.319837504329914 0.00970643859019247 0.326860899227417 0.0232860810838092 -14.2325185003278 9.85866926271457 365.21131876564 120.725706301809
"2020-07-01" "10:00" 131.190715754025 41.7141010961398 117.910126620046 39.3203128355224 122.550504575259 40.1573066404363 0.352926777245847 0.0260423319871083 0.316543439828087 0.00922216857100646 0.330529782926067 0.0224285602896169 -17.9209670891925 9.83127530189833 371.65134694933 118.985008236716
"2020-07-01" "10:30" 130.968346901133 37.2851908687308 118.42090856443 35.8651261798467 124.760281806296 37.0456999924578 0.350169006541117 0.0257578540477 0.31577859286599 0.00869333775667249 0.334052400592894 0.0224020636600989 -18.8868115785697 9.26115631570531 374.149537271859 107.78224174231
"2020-07-01" "11:00" 133.424788029429 36.8554170707543 120.080433679968 35.3498032986055 123.685674591608 36.2976418163646 0.3540223364285 0.0248893055173477 0.317640221105779 0.00815894055562527 0.328337442465722 0.0222455740285417 -16.9495952611008 8.67485342524884 377.190896301005 106.06500493261
"2020-07-01" "11:30" 136.488329091244 36.4249117678479 122.994705995307 35.01055389463 127.171733840089 36.0531713778606 0.353305159840372 0.023661623908655 0.317443545088848 0.00773517904927617 0.32925129507078 0.0209123340697053 -17.6706509407186 8.56193075174675 386.654768926641 105.167587750141
"2020-07-01" "12:00" 138.111686668365 35.7997611360922 124.823103740306 35.0306529711556 129.729148162514 36.6192723176512 0.35226162035782 0.0223895963928044 0.317374992961718 0.00771398931195355 0.330363386680462 0.019473483449706 -18.1946273502665 9.06953759507212 392.663938571185 105.291223132067
"2020-07-01" "12:30" 142.156605380147 32.5072643217766 126.738900759598 32.9719886990829 129.877612097872 34.2913091935333 0.357511720349895 0.0210993297268719 0.317063670239582 0.00748876575429458 0.325424609410524 0.0178254872949293 -18.556415958823 8.56623082820262 398.773118237617 97.6524169600058
"2020-07-01" "13:00" 145.014943322784 32.220660841961 131.296373224271 32.9303259005447 136.680069219876 33.9483407140584 0.351880423288408 0.0201072460949442 0.317070004339635 0.00723478820879999 0.331049572371957 0.0170615695974027 -19.1022660941185 8.39060637928425 412.991385766931 97.0324574141034
"2020-07-01" "13:30" 148.908292844143 31.4721917532375 135.248944450437 32.3775502555078 140.817768424016 33.7826425694042 0.351250457347165 0.0192523681435514 0.317539381781538 0.00717932575839176 0.331210160871297 0.0159130741479901 -19.2281723672846 8.75524455844297 424.975005718596 95.6185586656038
"2020-07-01" "14:00" 151.997829611082 32.1138073533866 137.901523097391 33.4594221831931 143.564590299884 34.6229382757462 0.351668534013226 0.0192724391780919 0.317240561177655 0.00736941175646851 0.331090904809119 0.0161194445149334 -19.7593737161847 8.78031238181114 433.463943008356 98.2151579581973
"2020-07-01" "14:30" 151.44432458981 27.6437803569664 135.776969396522 30.9619557598523 141.54688063014 32.3538636129374 0.354716246120293 0.0188935608582742 0.315711570892359 0.00773508589958045 0.329572182987348 0.0148995990573664 -21.4372664269064 9.4646080413834 428.768174616472 89.0061548864422
"2020-07-01" "15:00" 152.992171452309 30.8455002242303 136.263545039969 33.5884392806975 138.606292827312 34.5654061551459 0.359313978324571 0.0188591383478876 0.317448626099002 0.00771628587482084 0.323237395576427 0.0146657136307299 -19.0713741996834 9.42412760491659 427.86200931959 97.1902231755699
"2020-07-01" "15:30" 145.115214984787 27.9952671014371 130.089326383805 31.9223721638585 134.836095472631 33.665737504505 0.355807184712547 0.0200579543783849 0.316219730400356 0.00833193737942058 0.327973084887097 0.0154550525681707 -19.7726576898096 10.1526006388239 410.040636841223 91.576600710863
"2020-07-01" "16:00" 141.537340711279 28.3606710255349 126.973722763991 32.7468078384605 133.189806133854 34.1979110147223 0.354417179780628 0.0196512490570689 0.314873844249452 0.00856103692043958 0.33070897596992 0.0148724844007816 -20.7797013171514 10.4107070252903 401.700869609123 93.4820606168356
"2020-07-01" "16:30" 139.697018450218 29.4965360770457 126.355084654348 33.1096857375101 132.077456949873 34.7274477558528 0.35278771808516 0.0219187878259786 0.316235900246694 0.00968593709788969 0.330976381668146 0.0164006522903635 -19.064306091395 11.6744982333431 398.129560054439 95.154485817321
