"Date" "GCC_Std_Anom"
2020-07-01 -1.25326465997714
2020-07-02 -1.61414795043645
2020-07-03 -1.37804978178526
2020-07-04 -1.30938616498748
2020-07-05 -1.34834296754881
2020-07-06 -1.15052885930568
2020-07-07 -1.05603239154516
2020-07-08 -1.43221970919653
2020-07-09 -1.03594335561786
2020-07-10 -0.93048853948403
2020-07-11 -0.833977403262312
2020-07-12 -1.08026350168763
2020-07-13 -0.885760066250954
2020-07-14 -0.470597050502185
2020-07-15 -1.39901727488953
2020-07-16 -0.725458962209963
2020-07-17 -0.659257318248647
2020-07-18 -1.03823285343275
2020-07-19 -0.932332862810346
2020-07-20 -0.633295550868112
2020-07-21 -0.633442137497609
2020-07-22 -0.988697100404182
2020-07-23 -1.37452173601534
2020-07-24 -1.03909579160598
2020-07-25 -0.638208567618272
2020-07-26 -0.464186862696878
2020-07-27 -0.960070482288431
2020-07-28 -0.772217716595506
2020-07-29 -0.355257360072117
2020-07-30 -0.140791937602088
2020-07-31 -0.32248472235288
2020-08-01 -0.184055540606884
2020-08-02 -0.118193571367641
2020-08-03 0.510517779990512
2020-08-04 0.555935752079
2020-08-05 0.718142421881731
2020-08-06 0.315698302897511
2020-08-07 0.462876677246025
2020-08-08 -0.074069272493513
2020-08-09 0.220762519873595
2020-08-10 0.959744372246739
2020-08-11 1.33461915609249
2020-08-12 1.39357503809784
2020-08-13 1.1198953125313
2020-08-14 0.878726496788229
2020-08-15 0.673592731930797
2020-08-16 0.784445023554456
2020-08-17 0.582746281668811
2020-08-18 0.272240168217924
2020-08-19 0.208119180090427
2020-08-20 -0.129612490997137
2020-08-21 -0.133473981091186
2020-08-22 -0.276346230643318
2020-08-23 -0.363532945951555
2020-08-24 -0.16346716102158
2020-08-25 1.80621105277706
2020-08-26 1.88612118380943
2020-08-27 1.68361480737762
2020-08-28 1.42106738205506
2020-08-29 1.39269224877605
2020-08-30 1.49769365292412
2020-08-31 1.01060236246218
2020-09-01 0.0989904547460239
2020-09-02 0.0104414575679728
2020-09-03 -0.27917528078949
2020-09-04 -0.435938309822636
2020-09-05 -0.398318911044284
2020-09-06 -0.362510107839507
2020-09-07 0.621058546267627
2020-09-08 2.41462610066571
2020-09-09 2.58590112937638
2020-09-10 2.03272647145701
2020-09-11 2.10517164555543
2020-09-12 1.69636272357671
2020-09-13 1.01696907258809
2020-09-14 0.752885489324893
2020-09-15 0.101172489961354
2020-09-16 0.239777903719386
2020-09-17 -0.339725745903984
2020-09-18 -0.555628852786514
2020-09-19 -0.37181546364526
2020-09-20 -0.741766317977014
2020-09-21 0.105126464739331
2020-09-22 1.15491715628896
2020-09-23 1.19206050153771
2020-09-24 0.912238458315787
2020-09-25 0.230312731493629
2020-09-26 -0.669923199766479
2020-09-27 -0.714642868218347
2020-09-28 -0.713472992784636
2020-09-29 -0.828457296201404
2020-09-30 -0.566676016861281
2020-10-01 -0.89126612286701
2020-10-02 -0.792738383074094
