"Dates_YYYYMMDD" "Red_av" "Red_sd" "Green_av" "Green_sd" "Blue_av" "Blue_sd" "Red_Index_av" "Red_Index_sd" "Green_Index_av" "Green_Index_sd" "Blue_Index_av" "Blue_Index_sd" "GEI_av" "GEI_sd" "BRI_av" "BRI_sd"
"2020-07-01" 143.393361855958 31.5975016233887 135.848649218764 32.3489602094268 139.978591396787 31.4783461712666 0.342547952254328 0.0110275258576027 0.32303689767131 0.00685517459516248 0.334415150074361 0.0120264788986041 -11.6746548152165 6.53840764841525 419.22060247151 94.7300937941134
"2020-07-02" 142.306024023849 28.5300643710832 135.169149675101 29.8036396986977 138.361802664971 29.0602832005783 0.34299472054565 0.0111265199539299 0.324219126897974 0.00652179231023809 0.332786152556376 0.0115886648470982 -10.329527338617 6.74308059065226 415.836976363921 86.6277179321108
"2020-07-03" 142.849418825691 36.256596680261 135.56142145155 36.2248927754974 139.022519509426 34.898951007886 0.342380581819803 0.0125410592865271 0.323556959988372 0.00730167915495973 0.334062458191824 0.0140328450123224 -10.749095432017 6.67598697222409 417.433359786667 106.63747499776
"2020-07-04" 142.940054144971 35.778384445449 135.701213768726 35.6900227668734 138.621911610486 34.3995977321556 0.342710998613507 0.0124123737890595 0.324116528811452 0.00714397228170528 0.333172472575041 0.0138903993626901 -10.1595382180056 6.70292597599586 417.263179524183 105.121711887781
"2020-07-05" 142.791719355924 35.5326107559206 135.57946812522 35.4583687453938 139.20883516065 34.1643523827818 0.3420698932253 0.0122772486758613 0.323528663063926 0.0072232332022228 0.334401443710773 0.0139392562523747 -10.8416182661345 6.67298376198505 417.580022641794 104.408984898224
"2020-07-06" 143.26662244151 34.5319499799671 135.889742848179 34.4687170644454 138.612057858993 33.2656012783206 0.343097956954236 0.0121635365180963 0.324276679438436 0.00696482535584205 0.332625363607328 0.0136779921735864 -10.0991946041443 6.6973045740382 417.768423148681 101.498733054057
"2020-07-07" 143.092389891066 34.8466992180768 135.760608362747 34.6586785766336 138.660449263673 33.3503772507411 0.342789038311804 0.0122928421140867 0.32413953331166 0.00700942877216515 0.333071428376535 0.0139133065752771 -10.2316224292455 6.68872293101939 417.513447517486 102.087060437835
"2020-07-08" 143.683270292044 32.0984965932938 135.388852138651 32.1529506074388 138.647659259064 30.9791647712141 0.344282858762756 0.0119283622599105 0.323090970978253 0.00690628093818143 0.332626170258991 0.0134412106841226 -11.5532252738076 6.7684379482323 417.719781689759 94.3925391076256
"2020-07-09" 143.846646510401 30.6069702349899 135.807187531984 30.9547499468665 138.664423953207 30.057220319228 0.344290591385851 0.0116252349360743 0.323803295985606 0.00659017874882448 0.331906112628543 0.012766187407966 -10.8966953996397 6.66362918902302 418.318257995592 90.7927889241978
"2020-07-10" 142.35862853254 32.8677922760327 134.154227765208 32.9722219562278 136.732033678609 31.791695641724 0.344816199299821 0.012090502675659 0.323608134855966 0.00699492176106123 0.331575665844213 0.0134287909415194 -10.782206680734 6.7973279288947 413.244889976357 96.8320598301902
"2020-07-11" 141.803597846599 33.0328645864374 133.943590849362 32.9516689534434 136.315664602653 31.5385345375856 0.344272341144935 0.0122983165723617 0.324067609790484 0.00700397805728115 0.331660049064581 0.0137601969535175 -10.2320807505284 6.84690767464111 412.062853298613 96.7002277320422
"2020-07-12" 142.618600878066 30.4870171758835 134.365894911662 30.8213950392932 136.961535797737 29.6448438874266 0.344923579464465 0.0119438995705459 0.323672534344745 0.00676782890808866 0.33140388619079 0.0131618971922028 -10.8483468524807 6.7584435169572 413.946031587465 90.0836749965612
"2020-07-13" 142.848572021709 29.1144924091877 134.264016026305 29.6256222680082 137.451617893751 28.6563655965691 0.34504349760454 0.0116320135534098 0.322982382133079 0.00668662900401266 0.331974120262381 0.0126128782213355 -11.7721578628501 6.7377908334558 414.564205941765 86.5178775973615
"2020-07-14" 137.737692833763 35.3544910988619 128.959409690037 35.6327528307584 130.434978873382 34.2004811748694 0.34776917042199 0.0138146447790174 0.323398339752097 0.00793577532543901 0.328832489825913 0.0143376135829266 -10.253852327072 7.26986701292618 397.132081397182 104.365826849765
"2020-07-15" 140.123725384519 31.4670245893726 131.343864406114 32.2712221880551 132.150090564946 30.9514195321438 0.347930463839317 0.0123741905379784 0.324390899811178 0.00715917163940237 0.327678636349505 0.0128237558884816 -9.58608713723572 7.17797541162759 403.617680355579 93.8594404701228
"2020-07-16" 141.385531461145 30.2736575407242 133.021665882135 30.6408986145537 134.324992379522 29.4152926830325 0.346406381765308 0.0119144869617851 0.324586131690795 0.00694388574061266 0.329007486543896 0.0125349654544654 -9.66719207639788 7.1602653342281 408.732189722802 89.4701793590366
"2020-07-17" 141.954353305191 31.5653918069524 133.647225956585 31.8012983817117 134.550288128756 30.4021337905515 0.346597787219775 0.0119372811047359 0.324935271169323 0.00727671902690321 0.328466941610903 0.0126547427853759 -9.21018952077843 7.5669383444053 410.151867390532 92.91562099076
"2020-07-18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-23" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-24" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-25" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-26" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-27" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2020-07-29" 133.24716317916 38.6256739268685 125.144931805675 36.6942449418571 125.427236869421 34.9909000785145 0.346583245202499 0.0151918032206328 0.325278554349545 0.0110893086828765 0.328138200447956 0.0156916963388727 -8.38453643723076 10.9967120490471 383.819331854256 109.332602838691
"2020-07-30" 137.861876138194 37.7323775227051 129.932808637151 36.0975990166268 130.114444434286 34.4536899698234 0.346067327147866 0.0148910067675255 0.325766336828136 0.0111154120332932 0.328166336023999 0.015301249415154 -8.11070329817842 11.3998101713487 397.909129209631 107.272617669974
"2020-07-31" 138.646270559402 36.2113045236029 130.245495645457 34.6529036258292 130.677934106895 33.1211991262275 0.346669970813575 0.0145067921878617 0.325258250689075 0.0110163720776055 0.32807177849735 0.0146129164851249 -8.83321337538217 11.5188209585115 399.569700311754 102.950762429062
"2020-08-01" 137.698720495595 35.8826681473101 129.862942358417 34.2540643913822 130.009526544794 32.7109039991564 0.346001595013753 0.0147221154259993 0.325988837494876 0.0110692056354644 0.328009567491371 0.0146339028103869 -7.98236232355556 11.5772331746181 397.571189398806 101.788001357799
"2020-08-02" 138.240936737883 32.8972462706108 130.320932108735 31.5357217647227 130.917127466788 30.2604619491415 0.345889549078085 0.0146171978425409 0.325699337986589 0.0109772576707408 0.328411112935326 0.0141772860797158 -8.51619998720072 11.8757015137691 399.478996313406 93.4897686577841
